n,timeMs,algorithm
78600,38.9713,1
78700,34.4157,1
78800,52.7604,1
78900,48.1438,1
79000,32.7656,1
79100,42.3526,1
79200,43.171,1
79300,44.8632,1
79400,33.686,1
79500,45.2876,1
79600,54.6996,1
79700,36.0594,1
79800,46.0203,1
79900,39.956,1
80000,41.9756,1
80100,45.3439,1
80200,41.1488,1
80300,54.5465,1
80400,52.6076,1
80500,58.1073,1
80600,51.3658,1
80700,40.9561,1
80800,49.9457,1
80900,36.5731,1
81000,42.1493,1
81100,42.1097,1
81200,59.6144,1
81300,48.5588,1
81400,40.5825,1
81500,40.3285,1
81600,44.9577,1
81700,32.6246,1
81800,39.0171,1
81900,53.3702,1
82000,56.7024,1
82100,36.9711,1
82200,44.8887,1
82300,43.4788,1
82400,39.094,1
82500,48.4374,1
82600,69.3109,1
82700,72.6905,1
82800,36.362,1
82900,37.2392,1
83000,38.0954,1
83100,43.7975,1
83200,38.4418,1
83300,72.2622,1
83400,64.2439,1
83500,37.8616,1
83600,40.0834,1
83700,39.6212,1
83800,32.928,1
83900,36.4158,1
84000,33.3063,1
84100,34.4354,1
84200,80.6609,1
84300,44.7656,1
84400,41.2834,1
84500,42.2481,1
84600,55.3162,1
84700,73.7214,1
84800,71.7573,1
84900,84.5894,1
85000,86.5021,1
85100,88.1421,1
85200,87.1285,1
85300,84.33,1
85400,86.4491,1
85500,88.1987,1
85600,84.6732,1
85700,87.0144,1
85800,87.9865,1
85900,86.895,1
86000,83.5774,1
86100,128.6581,1
86200,95.6886,1
86300,73.259,1
86400,101.6665,1
86500,80.7655,1
86600,73.5958,1
86700,74.4846,1
86800,84.6156,1
86900,96.8703,1
87000,95.9147,1
87100,76.4293,1
87200,90.0956,1
87300,88.7012,1
87400,88.4712,1
87500,88.3691,1
87600,87.9647,1
87700,111.8246,1
87800,89.2658,1
87900,98.941,1
88000,97.9113,1
88100,87.4561,1
88200,87.4681,1
88300,89.3415,1
88400,87.2515,1
88500,91.7493,1
88600,90.3518,1
88700,88.658,1
88800,88.5561,1
88900,91.2298,1
89000,91.8879,1
89100,90.9304,1
89200,93.2127,1
89300,90.4778,1
89400,113.4624,1
89500,91.3407,1
89600,58.2691,1
89700,47.7854,1
89800,47.9041,1
89900,58.9054,1
90000,37.2783,1
90100,53.9901,1
90200,61.63,1
90300,61.7331,1
90400,40.0968,1
90500,39.1634,1
90600,42.66,1
90700,46.1551,1
90800,39.328,1
90900,41.4067,1
91000,52.3013,1
91100,41.1827,1
91200,41.1259,1
91300,42.7546,1
91400,40.1442,1
91500,52.1624,1
91600,67.6804,1
91700,47.5689,1
91800,47.2639,1
91900,45.9378,1
92000,42.3805,1
92100,57.5166,1
92200,62.1549,1
92300,49.0522,1
92400,54.6103,1
92500,44.5552,1
92600,40.6667,1
92700,46.9151,1
92800,52.4613,1
92900,38.5532,1
93000,45.5607,1
93100,68.3374,1
93200,61.6961,1
93300,40.8181,1
93400,35.2809,1
93500,37.2916,1
93600,35.6377,1
93700,39.2852,1
93800,43.5644,1
93900,43.4254,1
94000,47.2178,1
94100,37.0624,1
94200,42.7463,1
94300,42.1321,1
94400,42.1773,1
94500,54.719,1
94600,60.775,1
94700,51.2132,1
94800,74.0433,1
94900,108.6102,1
95000,83.1441,1
95100,42.5791,1
95200,40.6286,1
95300,46.5597,1
95400,42.7557,1
95500,54.1513,1
95600,77.4741,1
95700,71.6812,1
95800,53.4118,1
95900,61.4353,1
96000,40.2062,1
96100,69.3258,1
96200,95.749,1
96300,96.8874,1
96400,94.6316,1
96500,95.7342,1
96600,96.9441,1
96700,97.878,1
96800,95.8159,1
96900,95.2559,1
97000,97.2234,1
97100,97.209,1
97200,99.9413,1
97300,111.3098,1
97400,91.8208,1
97500,58.5954,1
97600,52.9474,1
97700,57.8082,1
97800,48.1876,1
97900,42.5382,1
98000,41.1423,1
98100,39.526,1
98200,39.0788,1
98300,38.8219,1
98400,37.8,1
98500,37.4949,1
98600,41.708,1
98700,37.6093,1
98800,39.1879,1
98900,41.4388,1
99000,38.9164,1
99100,39.4824,1
99200,38.6974,1
99300,39.1076,1
99400,38.8038,1
99500,36.792,1
99600,38.0419,1
99700,38.6221,1
99800,40.6038,1
99900,42.2414,1
100000,38.324,1
